Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Frontiers Kickstarter Promo Pack,1,Spawning Wurm,"{Gain 8 Combat}
You may destroy target base.
<hr>
{Blob Ally}: Scrap this card from play. Gain {8 Combat}",Ship,Blob,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Swarming Point,"{Gain 3 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Base,Blob,5,5,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Temple Guardian,"{Gain 2 Trade} OR {Gain 4 Combat}
<b>Machine Cult Docking:</b> During the discard phase, if you have a {Machine Cult} base in play, set this card aside. At the end of the draw phase, return it to your hand.",Ship,Machine Cult,3,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,The Colossus,"{Gain 10 Combat}
Choose a faction as you play The Colossus. The Colossus has that faction. Draw a card for each card of that faction you have in play (including The Colossus).",Ship,Unaligned,9,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Trade Envoy,"{Gain 3 Trade} {Gain 5 Authority}
Draw a card.
<hr>
{Trade Federation Ally}: Scrap this card from play. Put the next ship or base you acquire this turn into your hand.",Ship,Trade Federation,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Mobilization,"Each player may look at the top four cards of their deck, put any number of those cards into their discard pile, then put the remaining cards back on top of their deck in any order.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Patience Rewarded,"Each player may scrap a card in the trade row, then set it aside. For the rest of the game, players may acquire the card they set aside as if it were in the trade row.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Powerful Backing,"The player currently taking their turn gains
{1 Trade} {Two Machine Cult Allies} {Two Star Empire Allies} {Two Trade Federation Allies} {Two Blob Allies}
Each other player gains
{5 Authority}",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Recon Mission,Each player may acquire an Explorer for free and put it into their hand.,Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Superflare,"Each player shuffles their discard pile into their deck, then draws a card.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Supply Run,Each player may either acquire an Explorer for free and put it on top of their deck or put a card from their discard pile on top of their deck.,Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Tactical Maneuver,"The player currently taking their turn chooses to gain either {2 Trade} or {4 Combat}
Each other player chooses to either gain {6 Authority} or draw a card.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Wormhole,Each player may either put a card from their discard pile into their hand or draw a card.,Event,,,,Trade Deck,
